sd_path,sd_name,source_path,source_name,token,source_size,source_sha256,sidecar_on1,evidence
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0381.JPG,IMG_0381.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0381.jpg,250701-01 Jul - IMG_0381.jpg,IMG_0381,4469661,e332a7352f63d9ccc971847e758f373e750d74f756e19905e080f0263365758c,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0382.JPG,IMG_0382.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0382.jpg,250701-01 Jul - IMG_0382.jpg,IMG_0382,4550345,c383f4b24814f84d665e09c0d46dd271b0db3eb7eacdf4439b48c0f42c7d7e14,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0383.JPG,IMG_0383.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0383.jpg,250701-01 Jul - IMG_0383.jpg,IMG_0383,4670448,f7b95ec69a8b1955a97b350817a6f773e6b5ca55349cf28eb7741685ac40d698,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0384.JPG,IMG_0384.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0384.jpg,250701-01 Jul - IMG_0384.jpg,IMG_0384,4316009,7e29556524ab0e4bc451300b507e89ad6783008c77498723e4eef1d3a0b7f09d,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0385.JPG,IMG_0385.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0385.jpg,250701-01 Jul - IMG_0385.jpg,IMG_0385,4668783,027c5fd20af87e034ec50490423159de50fe113c317321d4435b833649232c4f,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0386.JPG,IMG_0386.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0386.jpg,250701-01 Jul - IMG_0386.jpg,IMG_0386,4665368,59a0eb35b104a1a49389910bb1964c9d600674a19f5cae89f22051a7b9dcb700,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0387.JPG,IMG_0387.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0387.jpg,250701-01 Jul - IMG_0387.jpg,IMG_0387,4669674,165f607abed89ab6fbd99227f0e08d780f8974e42550f37a9fe94d596baa3c90,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0388.JPG,IMG_0388.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0388.jpg,250701-01 Jul - IMG_0388.jpg,IMG_0388,4668747,8aa04718215d8624d44b427e9090c1d3d2eb3a35fc7f3abe5207cf14f6bf8109,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0389.JPG,IMG_0389.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0389.jpg,250701-01 Jul - IMG_0389.jpg,IMG_0389,4660779,db3b6d34ce72ae6f53b12b184744e5d894a0655cb79eba4f55d42515867b0a57,yes,"Same IMG_#### token, same byte size, same SHA-256."
/Volumes/EOS_DIGITAL/DCIM/100CANON/IMG_0390.JPG,IMG_0390.JPG,/Users/dominiklukes/Library/CloudStorage/OneDrive-Personal/Pictures/2025/07/01/250701-01 Jul - IMG_0390.jpg,250701-01 Jul - IMG_0390.jpg,IMG_0390,4655806,178ceaea7f541749dbd39415c45087e3e06aaff8a73d680dede6fa28a2caf801,yes,"Same IMG_#### token, same byte size, same SHA-256."
